# x y z u_s u_c u(t)
9.032258064516e-01 0.000000000000e+00 0.000000000000e+00 2.948193946301e-01 1.474096973151e-01 -2.217224782048e-02
9.354838709677e-01 0.000000000000e+00 0.000000000000e+00 4.491957605305e-01 2.245978802653e-01 -3.378230843628e-02
9.677419354839e-01 0.000000000000e+00 0.000000000000e+00 6.747062460459e-01 3.373531230229e-01 -5.074209623191e-02
1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00 5.000000000000e-01 -7.520620496592e-02
0.000000000000e+00 3.225806451613e-02 0.000000000000e+00 1.269578835743e-18 6.347894178713e-19 -9.548020614124e-20
3.225806451613e-02 3.225806451613e-02 0.000000000000e+00 2.539157671485e-18 1.269578835743e-18 -1.909604122825e-19
6.451612903226e-02 3.225806451613e-02 0.000000000000e+00 5.201464490037e-15 2.600732245019e-15 -3.911824045607e-16
9.677419354839e-02 3.225806451613e-02 0.000000000000e+00 6.747075156247e-13 3.373537578123e-13 -5.074219171211e-14
1.290322580645e-01 3.225806451613e-02 0.000000000000e+00 2.129999962586e-11 1.064999981293e-11 -1.601892137636e-12
1.612903225806e-01 3.225806451613e-02 0.000000000000e+00 3.099557717145e-10 1.549778858573e-10 -2.331059729793e-11
1.935483870968e-01 3.225806451613e-02 0.000000000000e+00 2.763596785073e-09 1.381798392537e-09 -2.078396262614e-10
2.258064516129e-01 3.225806451613e-02 0.000000000000e+00 1.757260529109e-08 8.786302645547e-09 -1.321568955307e-09
2.580645161290e-01 3.225806451613e-02 0.000000000000e+00 8.724479326860e-08 4.362239663430e-08 -6.561349804767e-09
2.903225806452e-01 3.225806451613e-02 0.000000000000e+00 3.585665621061e-07 1.792832810531e-07 -2.696643036368e-08
3.225806451613e-01 3.225806451613e-02 0.000000000000e+00 1.269578835744e-06 6.347894178719e-07 -9.548020614134e-08
3.548387096774e-01 3.225806451613e-02 0.000000000000e+00 3.984482244580e-06 1.992241122290e-06 -2.996577883689e-07
3.870967741935e-01 3.225806451613e-02 0.000000000000e+00 1.131969242646e-05 5.659846213231e-06 -8.513111087756e-07
4.193548387097e-01 3.225806451613e-02 0.000000000000e+00 2.957875578483e-05 1.478937789242e-05 -2.224505970191e-06
4.516129032258e-01 3.225806451613e-02 0.000000000000e+00 7.197739126712e-05 3.598869563356e-05 -5.413146440547e-06
4.838709677419e-01 3.225806451613e-02 0.000000000000e+00 1.647232046010e-04 8.236160230052e-05 -1.238820708787e-05
5.161290322581e-01 3.225806451613e-02 0.000000000000e+00 3.573546732230e-04 1.786773366115e-04 -2.687528879994e-05
5.483870967742e-01 3.225806451613e-02 0.000000000000e+00 7.396848616199e-04 3.698424308099e-04 -5.562889131317e-05
5.806451612903e-01 3.225806451613e-02 0.000000000000e+00 1.468688638381e-03 7.343443191907e-04 -1.104544987692e-04
6.129032258065e-01 3.225806451613e-02 0.000000000000e+00 2.809977778080e-03 1.404988889040e-03 -2.113277647279e-04
6.451612903226e-01 3.225806451613e-02 0.000000000000e+00 5.200194911201e-03 2.600097455601e-03 -3.910869243545e-04
6.774193548387e-01 3.225806451613e-02 0.000000000000e+00 9.338802927829e-03 4.669401463915e-03 -7.023359271266e-04
7.096774193548e-01 3.225806451613e-02 0.000000000000e+00 1.632043927379e-02 8.160219636897e-03 -1.227398301159e-03
7.419354838710e-01 3.225806451613e-02 0.000000000000e+00 2.782234337214e-02 1.391117168607e-02 -2.092412858277e-03
7.741935483871e-01 3.225806451613e-02 0.000000000000e+00 4.636546017878e-02 2.318273008939e-02 -3.486970301545e-03
8.064516129032e-01 3.225806451613e-02 0.000000000000e+00 7.567279551879e-02 3.783639775939e-02 -5.691063770130e-03
8.387096774194e-01 3.225806451613e-02 0.000000000000e+00 1.211545836947e-01 6.057729184733e-02 -9.111576453901e-03
8.709677419355e-01 3.225806451613e-02 0.000000000000e+00 1.905569723316e-01 9.527848616578e-02 -1.433106671885e-02
9.032258064516e-01 3.225806451613e-02 0.000000000000e+00 2.948193946301e-01 1.474096973151e-01 -2.217224782048e-02
9.354838709677e-01 3.225806451613e-02 0.000000000000e+00 4.491957605305e-01 2.245978802653e-01 -3.378230843628e-02
9.677419354839e-01 3.225806451613e-02 0.000000000000e+00 6.747062460459e-01 3.373531230229e-01 -5.074209623191e-02
